Age,95%,90%,75%,50%,25%,10%,5%
5.5,34,29,25,16,13,12,9
6,36,31,25,17,13,12,9
6.5,37,31,25,18,13,12,10
7,43,36,25,19,13,12,10
7.5,44,38,31,21,13,12,10
8,44,39,31,23,15,13,10
8.5,45,40,33,29,20,14,12
9,47,43,37,33,25,14,12
9.5,50,47,39,35,27,17,13
10,50,48,42,35,27,17,13
10.5,50,49,42,39,32,25,18
11,52,50,43,39,33,25,19
11.5,53,50,45,42,35,25,19
12,53,50,46,42,37,27,21
12.5,53,52,50,45,40,33,28
13,53,52,50,45,40,35,30
13.5,54,52,50,46,42,35,32
14,55,52,50,48,43,36,34
14.5,55,53,51,48,43,36,34
15,57,54,51,48,43,36,34
15.5,57,55,52,49,43,41,34
16,57,56,53,49,44,41,34
16.5,57,56,53,49,45,41,36
17,58,57,55,52,47,40,37
20,57,56,54,50,44,38,33
30,57,55,52,48,44,37,28
40,57,54,50,47,41,31,28
50,54,52,48,42,34,24,21
60,54,52,46,37,30,22,19
70,52,49,44,33,26,18,17
